"ebint","ebhex","depth","area","longitude","latitude","clust30","clust30a"
12489217,"0xbe9201",16.5,2708603,11.6296914,62.3271044,21,30
14270528,"0xd9c040",19.8,3900771,8.3991439,62.5449388,27,22
1488716,"0x16b74c",38.9,15132684,13.7203739,64.4335433,7,6
3215223,"0x310f77",23.9,5725041,12.6017153,65.2568776,7,20
714538,"0xae72a",28.5,8110490,13.366197,64.6199774,7,6
13898364,"0xd4127c",27.3,7442929,16.0786399,67.8080661,4,23
12992185,"0xc63eb9",9.7,947805,16.6730561,67.8548423,4,23
4720398,"0x48070e",29.3,8583193,17.2368127,68.5983297,4,23
12220526,"0xba786e",19.7,3886927,24.5879629,68.7408012,14,8
11356543,"0xad497f",18.7,3492414,20.7683418,69.1255892,15,10
636100,"0x9b4c4",18.2,3298788,23.8616341,69.748803,1,9
15268149,"0xe8f935",15.4,2356467,23.9777769,69.552557,14,9
2554138,"0x26f91a",16,2550815,30.0833607,69.606702,26,15
2749215,"0x29f31f",9,816079,28.869132,70.0435098,26,15
6335266,"0x60ab22",15.2,2299209,29.2308015,70.4752058,26,1
10880008,"0xa60408",8.9,789146,11.2898265,59.7939072,10,2
14130835,"0xd79e93",13.3,1781015,7.7878998,58.5495437,9,19
7514322,"0x72a8d2",26.7,7141816,11.7028051,59.1582753,10,2
9455305,"0x9046c9",16.4,2692589,5.9800544,59.0976528,9,19
432080,"0x697d0",36,12960221,8.5374816,60.223099,3,24
13137827,"0xc877a3",12.5,1562460,7.7181555,59.960588,23,27
4993028,"0x4c3004",72.1,51967635,8.9142236,59.8874076,3,7
5273549,"0x5077cd",21.8,4733120,8.5122531,59.7839889,3,7
6645947,"0x6568bb",12.8,1636034,10.6689898,60.0686912,10,16
15523579,"0xecdefb",8.9,799208,11.4159134,63.0959803,21,30
2484588,"0x25e96c",36.6,13421417,12.3192029,60.3896533,10,2
1582246,"0x1824a6",49.3,24282053,7.8537779,60.6891062,23,24
2499933,"0x26255d",12.1,1474787,10.5605359,61.3905281,8,16
13026051,"0xc6c303",31.8,10109742,9.8931501,62.3579349,27,22
11431250,"0xae6d52",9.9,977615,5.4188966,61.6759047,29,21
14171610,"0xd83dda",14.2,2011469,11.1905364,62.5653989,21,30
9544712,"0x91a408",24.6,6033059,7.8289087,62.3463274,29,22
14639670,"0xdf6236",11.2,1256525,10.6469971,64.1795615,27,6
3221783,"0x312917",43.9,19265192,13.5168417,64.4533906,7,6
2180149,"0x214435",23.3,5439817,12.1242506,64.639889,7,6
11046039,"0xa88c97",15.4,2370867,14.8795811,66.9341881,5,26
3838669,"0x3a92cd",15.5,2388169,15.9617561,67.4688299,5,26
9998535,"0x9890c7",20.1,4039165,20.2948615,69.1890213,15,10
16701684,"0xfed8f4",15.9,2521553,24.302741,69.7324439,1,9
11228211,"0xab5433",18.7,3485871,23.5697548,69.5179205,14,9
11413403,"0xae279b",12.2,1483786,29.7057737,69.5047057,26,15
6310864,"0x604bd0",9,807535,27.7758885,70.8432184,1,1
5514982,"0x5426e6",8.7,755408,7.0771926,58.2892329,9,19
2903290,"0x2c4cfa",10.8,1172093,7.2908654,58.2459163,9,19
10465416,"0x9fb088",16.8,2807143,6.1726309,58.6807983,9,19
10246213,"0x9c5845",32.5,10567408,8.2450516,59.1571908,3,7
8862104,"0x873998",41.7,17403557,8.0586704,59.0172054,9,7
2712929,"0x296561",10.8,1164341,9.2313117,59.1175454,3,7
4633267,"0x46b2b3",18.8,3519357,6.6635038,59.0024342,9,19
3956162,"0x3c5dc2",12.4,1540472,10.9060038,59.3151177,10,2
10546848,"0xa0eea0",18.9,3574601,9.5653971,59.4363996,3,7
877225,"0xd62a9",21.1,4467458,9.5530083,59.372242,3,7
3453051,"0x34b07b",17.3,2977507,7.6634185,59.399647,3,7
14587238,"0xde9566",16.8,2821590,9.9193263,59.5983681,3,7
1303165,"0x13e27d",37.1,13735910,11.8215526,59.7036198,10,2
2835278,"0x2b434e",16.5,2736819,7.0094427,59.7919444,23,27
15101175,"0xe66cf7",16.3,2641484,7.624317,60.0275249,23,27
6580313,"0x646859",10.3,1063449,8.7528282,60.4828215,8,24
5871315,"0x5996d3",19.8,3940122,9.0857363,61.1010179,8,24
12580082,"0xbff4f2",14.1,1978927,9.8634994,61.1250466,8,16
15284752,"0xe93a10",9,803355,6.1024343,61.2925174,29,21
11436771,"0xae82e3",19.2,3687726,7.7879357,61.7273804,29,21
333344,"0x51620",13.4,1803864,7.5669652,61.5645365,29,21
3185730,"0x309c42",47.5,22546512,11.5990105,61.9352926,21,30
3507286,"0x358456",17.6,3102711,7.3528025,62.0447471,29,21
10884442,"0xa6155a",22.5,5074292,12.0993886,61.8742274,21,30
14941010,"0xe3fb52",19.8,3907189,11.8785345,62.8230621,21,30
7205453,"0x6df24d",20.5,4214098,10.413579,62.6080786,27,22
8233882,"0x7da39a",13.7,1886250,9.4970564,63.5215861,27,22
2982708,"0x2d8334",8.3,687013,10.462775,64.2307092,27,6
735147,"0xb37ab",19.4,3773888,13.6896544,64.3805043,7,6
10634649,"0xa24599",18.6,3471008,13.8322735,65.2819783,17,20
2913748,"0x2c75d4",18.5,3430147,14.3975795,66.2201274,17,20
13746871,"0xd1c2b7",33.9,11466258,21.1250459,69.3453128,15,10
13055240,"0xc73508",10.1,1014362,30.8489211,69.5898538,26,15
15560900,"0xed70c4",17.4,3037055,30.3601014,69.7188778,26,15
