"ebint","ebhex","depth","area","longitude","latitude"
2859058,"0x2ba032",27.5,7549335,14.6707614,61.498621
5674205,"0x5694dd",41.8,17492091,13.3876537,62.0741731
12327386,"0xbc19da",17.7,3116484,16.2496095,62.6971508
4133938,"0x3f1432",13.4,1793693,16.4348161,61.0944373
16272654,"0xf84d0e",78,60829393,15.6175437,61.1477025
11453812,"0xaec574",10,995805,15.2090218,60.9293785
15248291,"0xe8aba3",21.9,4786850,16.2768186,61.2499276
3764222,"0x396ffe",14.6,2140935,16.3857585,61.2929288
6651302,"0x657da6",13.5,1820081,14.0680896,61.197586
10895157,"0xa63f35",35.6,12664446,15.1779728,61.1485825
13330446,"0xcb680e",43.4,18814005,15.3759879,59.4284033
1029047,"0xfb3b7",17.3,3001639,14.4197473,61.5039515
