"lakenames","model2a","model2b","model3b","maximumdepth","meandepthbyDM","volumebyDM","surfacearea","perimeterfromshp"
"SW3-5925",-0.0487485816898987,1.13050254982582,1.1946643347514,14.3,5.91594736973608,214885.67727854,36323.1218684973,1491.74
"SW3-5927",0.00987417542786165,1.76525074823571,1.74749057719275,7,2.57930240592618,177951.4134029,68992.070489308,2465.26
"SW3-5928",-0.00130364307993737,1.11029548070996,1.11358775474241,3,1.42750816743297,52305.7532386758,36641.2987553935,1990.08
"SW3-5932",0.0276089323197055,1.34804992095741,1.28848198370871,5.3,2.45120207172884,184700.669720382,75351.0580994702,2245.11
"SW3-5933",-0.143751714975735,1.03122844480627,1.19064817683073,14.7,5.20018258023476,411430.988853042,79118.5660320542,3969.79
"SW3-5937",-0.0672711949606138,1.79173861839803,1.91764745985854,12.6,3.88759722562242,370636.553054562,95338.2080354844,4573.03
"SW3-5938",0.0102781178621288,1.39417960925291,1.36353202906112,3.3,1.45992605840605,23520.4631456668,16110.7221905104,1505.2
"SW3-5940",-0.135208671653671,1.28498207709757,1.44626230601871,6.4,2.26250495042056,202798.44673015,89634.4764648816,2576.26
"SW3-5941",-0.0235107821498687,2.12085251455471,2.20487259758414,3.7,1.19833940106076,52992.2474562838,44221.4012235395,2536.47
"SW3-5942",-0.0704091183267756,1.19282830628696,1.28731632203248,7.6,3.09097887325522,217038.782738647,70216.8444490452,2092.34
"SW3-5943",0.0154562119262453,0.73087571372025,0.719123811036647,5.1,2.99795023886555,84540.0065145199,28199.2694270037,1662.34
"SW3-5949",-0.0917935424061411,2.31958741425677,2.44368179150129,16,4.39583725600738,14875907.5500755,3384089.69298078,31640.3
"SW3-5950",0.0790758355761545,3.1037383813311,2.94814569370203,19,5.49203893737422,12966239.6583187,2360915.46439727,18403.9
"SW3-5952",-0.187010523111571,1.16707098775629,1.40437206125514,7.4,2.21593281095851,434392.733876281,196031.545599247,4188.01
"SW3-5953",0.0881390482911204,4.80036717898541,4.64333421262265,22.7,5.44712211318396,10992346.7657513,2018009.97615713,21489.4
"SW3-5956",-0.0404909020528071,2.02237910908278,2.09130500100152,4.7,1.49688278682946,278280.155851665,185906.443911409,4517.67
"SW3-5957",-0.0821156070509627,1.07116620826343,1.15056113329676,11.3,4.43413165192216,903907.81325017,203852.272374081,4017.16
"SW3-5964",0.00874345452933325,2.09553716833991,2.08364287014949,7.5,2.69217291158574,1180853.4343332,438624.662350406,6823.2
"SW3-5968",0.0120958081139695,1.82814630693593,1.80828956702016,10,3.58557084803811,1003552.24025313,279886.322927417,5507.7
"SW3-5970",0.179210542404896,2.63717223231097,2.29210956514894,8.3,3.14710667111059,35143.6002174029,11166.9555214031,800.606
