"lakeid","d1","d2","dm","area","fractionalarea","cumsumarea","cumsumfraction","intervals.string","oneminusZdmdivZmaxdm"
"SW1-0338",16,18,17,2775.08556960696,0.0247351035732351,9423.55109601731,0.083994711709259,"16-18",0.180722891566265
"SW1-0338",18,20,19,3083.89010793381,0.0274875636498018,6648.46552641035,0.0592596081360239,"18-20",0.0843373493975904
"SW1-0338",20,21.5,20.75,3564.57541847655,0.0317720444862221,3564.57541847655,0.0317720444862221,"20-21.5",0
"SW1-0339",0,2,1,1079658.83114517,0.211932616452775,5094349.55891158,1,"0-2",0.942028985507246
"SW1-0339",2,4,3,604344.625666151,0.118630380321854,4014690.72776641,0.788067383547225,"2-4",0.826086956521739
"SW1-0339",4,6,5,756955.745296609,0.148587319449342,3410346.10210026,0.669437003225371,"4-6",0.710144927536232
"SW1-0339",6,8,7,634958.222924879,0.124639704359145,2653390.35680365,0.520849683776029,"6-8",0.594202898550725
"SW1-0339",8,10,9,618174.839423813,0.121345194764351,2018432.13387877,0.396209979416885,"8-10",0.478260869565217
"SW1-0339",10,12,11,401002.988004381,0.0787152478186156,1400257.29445496,0.274864784652533,"10-12",0.36231884057971
"SW1-0339",12,14,13,493480.036102806,0.0968681144464375,999254.30645058,0.196149536833918,"12-14",0.246376811594203
"SW1-0339",14,16,15,423215.475889555,0.0830754684175964,505774.270347774,0.0992814223874802,"14-16",0.130434782608696
"SW1-0339",16,18.5,17.25,82558.7944582192,0.0162059539698838,82558.7944582192,0.0162059539698838,"16-18.5",0
"SW1-0341",0,2,1,877536.20907029,0.230679486406513,3781136.02341936,0.993953875521136,"0-2",0.953488372093023
"SW1-0341",2,4,3,811989.898430674,0.213449212466925,2903599.81434907,0.763274389114624,"2-4",0.86046511627907
"SW1-0341",4,6,5,701455.399826187,0.184392814446269,2091609.91591839,0.549825176647699,"4-6",0.767441860465116
"SW1-0341",8,12,10,813400.223503025,0.21381994709872,1390154.51609221,0.36543236220143,"8-12",0.534883720930233
"SW1-0341",12,16,14,306656.172136282,0.0806112472176275,576754.292589181,0.151612415102711,"12-16",0.348837209302326
"SW1-0341",16,20,18,254821.709604596,0.0669854309021558,270098.120452898,0.0710011678850831,"16-20",0.162790697674419
"SW1-0341",20,23,21.5,15276.4108483026,0.00401573698292724,15276.4108483026,0.00401573698292724,"20-23",0
"SW1-0344",0,2,1,904443.471637171,0.254904889977819,3548160.53829282,1,"0-2",0.92
"SW1-0344",2,3,2.5,677958.320564777,0.191073180947718,2643717.06665565,0.745095110022181,"2-3",0.8
"SW1-0344",3,4,3.5,618055.404841037,0.174190372214221,1965758.74609087,0.554021929074462,"3-4",0.72
"SW1-0344",4,5,4.5,326435.086788358,0.092001216761579,1347703.34124983,0.379831556860241,"4-5",0.64
